id,date,channel,customer_type,primary_type,secondary_aspects,multi_question,urgency,content_summary,rationale
001,2026-05-02,이메일,1차 협력사,일반 문의,,N,,CBAM 첫 신고 기한 문의,기한을 묻는 정보 질문 → 문의
002,2026-05-03,채널톡,기타,일반 문의,불만(계산 변동 불안),N,,Scope2 계산기준 변경 이유 문의,명시 요청이 '설명'이라 문의; 급변 불안은 secondary
003,2026-05-04,이메일,2차 협력사,불만,,N,높음,로그인 불가·업무 마비,결함(로그인 불가) 호소 → 불만; 업무마비 긴급
004,2026-05-05,이메일,기타,칭찬,,N,,CSRD 보고서 검토 지원 감사,감사 표현 → 칭찬
005,2026-05-06,채널톡,기타,기능 요청,불만(계산 복잡),N,,Scope3 금융 특화 가이드 요청,'가이드 제공' 명시 요청 → 기능요청
006,2026-05-07,이메일,1차 협력사,기능 요청,,N,,CBAM 인증서 단계별 가이드 요청,'가이드 문서 만들어 달라' → 기능요청
007,2026-05-08,미팅메모,기타,일반 문의,,N,,공공기관 탄소중립 기준 문의,기준 존재 여부 질문 → 문의
008,2026-05-09,이메일,OEM,불만,기능요청(대량입력 자동화),N,,협력사 200개 수동입력 불편,요청 동사 없이 불편 호소 → 불만; 잠재 기능니즈 secondary
009,2026-05-10,채널톡,기타,일반 문의,,N,,PCF 국내 LCA DB 문의,DB 존재 여부 질문 → 문의
010,2026-05-11,이메일,OEM,불만,,N,높음,CBAM 보고서 EU세관 반려,결함(반려) 해결 요구 → 불만; 긴급
011,2026-05-12,채널톡,기타,기능 요청,,N,,ESG 포트폴리오 관리 기능 요청,'추가되면 좋겠다' 기능 니즈 → 기능요청
012,2026-05-13,이메일,1차 협력사,칭찬,,N,,온보딩 담당자 친절 감사,감사 → 칭찬
013,2026-05-14,이메일,기타,기능 요청,불만(외부 컨설팅 비용),N,,CSRD 이중중요성 지원 요청,'지원해줄 수 있나요'=기능 제공 요청 → 기능요청
014,2026-05-15,채널톡,2차 협력사,일반 문의,불만(정확도 불신),N,,계산 20% 차이 근거 문의,명시 요청='근거 설명' → 문의; 불신 secondary
015,2026-05-16,이메일,기타,일반 문의,,N,,제3자 검증 인증기관 목록 문의,목록 문의 → 문의
016,2026-05-17,채널톡,1차 협력사,일반 문의,,Y,,CBAM 인증서 구매의무·비용 문의,질문 2개(구매의무/비용추산) → 다중질문
017,2026-05-18,이메일,기타,칭찬,,N,,UI 개선 사용성 향상 칭찬,긍정 피드백 → 칭찬
018,2026-05-19,이메일,기타,기능 요청,,N,,협력사 데이터 일괄발송 기능 요청,'기능이 필요합니다' → 기능요청
